
 ,time,x,y,z
 ,0.111, -0.03, 0.78, 0.69
, 0.113, 0.05, 0.80, 0.52
, 0.114, 0.08, 0.80, 0.56
, 0.184, 0.08, 0.82, 0.68
, 0.227, 0.06, 0.80, 0.73
, 0.265, 0.06, 0.80, 0.71
, 0.281, 0.05, 0.78, 0.73
, 0.365, 0.02, 0.78, 0.66
, 0.409, 0.05, 0.79, 0.72
, 0.479, 0.03, 0.77, 0.70
, 0.480, 0.02, 0.75, 0.71
, 0.535, 0.05, 0.77, 0.70
, 0.597, 0.03, 0.77, 0.68
, 0.663, 0.03, 0.79, 0.68
, 0.664, 0.03, 0.77, 0.68
, 0.724, 0.04, 0.78, 0.68
, 0.786, 0.04, 0.76, 0.71
, 0.850, 0.07, 0.78, 0.67
, 0.867, 0.05, 0.77, 0.69
, 0.928, -0.01, 0.76, 0.72
, 0.980, 0.03, 0.77, 0.67
, 1.073, 0.00, 0.76, 0.74
, 1.074, 0.02, 0.77, 0.70
, 1.214, 0.02, 0.78, 0.70
, 1.215, -0.00, 0.77, 0.73
, 1.241, 0.01, 0.76, 0.70
, 1.269, 0.01, 0.77, 0.72
, 1.319, 0.01, 0.76, 0.72
, 1.384, -0.00, 0.75, 0.73
, 1.453, 0.04, 0.77, 0.69
, 1.473, 0.01, 0.76, 0.70
, 1.507, -0.01, 0.76, 0.67
, 1.566, 0.03, 0.78, 0.71
, 1.617, -0.04, 0.73, 0.71
, 1.693, 0.00, 0.77, 0.71
, 1.695, 0.01, 0.77, 0.68
, 1.764, -0.03, 0.77, 0.70
, 1.807, 0.01, 0.78, 0.67
, 1.871, -0.02, 0.76, 0.72
, 1.873, -0.01, 0.77, 0.70
, 1.946, 0.01, 0.75, 0.72
, 2.000, 0.01, 0.77, 0.69
, 2.061, -0.01, 0.76, 0.70
, 2.079, 0.00, 0.76, 0.70
, 2.121, 0.00, 0.77, 0.73
, 2.186, 0.00, 0.76, 0.75
, 2.326, 0.00, 0.75, 0.67
, 2.327, 0.00, 0.76, 0.72
, 2.328, -0.01, 0.77, 0.68
, 2.376, 0.01, 0.78, 0.72
, 2.465, 0.04, 0.77, 0.72
, 2.477, 0.01, 0.77, 0.71
, 2.519, -0.01, 0.75, 0.72
, 2.567, 0.02, 0.76, 0.69
, 2.631, 0.01, 0.75, 0.71
, 2.679, 0.00, 0.76, 0.69
, 2.695, -0.02, 0.76, 0.68
, 2.786, 0.04, 0.77, 0.68
, 2.852, 0.04, 0.76, 0.71
, 2.884, 0.02, 0.77, 0.72
, 2.886, -0.01, 0.77, 0.76
, 2.948, 0.03, 0.77, 0.77
, 3.053, 0.04, 0.76, 0.67
, 3.113, 0.00, 0.75, 0.69
, 3.116, 0.02, 0.76, 0.71
, 3.203, 0.01, 0.75, 0.70
, 3.204, 0.01, 0.74, 0.75
, 3.276, 0.03, 0.76, 0.73
, 3.284, 0.02, 0.76, 0.71
, 3.343, 0.04, 0.78, 0.69
, 3.425, 0.02, 0.76, 0.74
, 3.467, 0.02, 0.75, 0.69
, 3.488, 0.03, 0.76, 0.72
, 3.544, 0.04, 0.75, 0.73
, 3.589, 0.05, 0.76, 0.67
, 3.665, 0.04, 0.76, 0.74
, 3.697, 0.03, 0.76, 0.71
, 3.711, -0.01, 0.76, 0.72
, 3.792, 0.04, 0.77, 0.74
, 3.851, 0.00, 0.75, 0.67
, 3.887, 0.01, 0.76, 0.70
, 3.915, -0.02, 0.75, 0.69
, 3.989, 0.01, 0.76, 0.68
, 4.039, 0.03, 0.75, 0.68
, 4.043, 0.03, 0.75, 0.71
, 4.047, 0.03, 0.74, 0.71
, 4.080, 0.02, 0.76, 0.70
, 4.096, -0.00, 0.75, 0.69
, 4.116, 0.01, 0.76, 0.68
, 4.155, 0.06, 0.78, 0.69
, 4.156, 0.05, 0.77, 0.74
, 4.175, 0.06, 0.75, 0.74
, 4.215, 0.05, 0.76, 0.69
, 4.217, 0.02, 0.77, 0.66
, 4.236, 0.01, 0.75, 0.69
, 4.252, 0.01, 0.76, 0.70
, 4.291, 0.07, 0.79, 0.70
, 4.293, 0.08, 0.82, 0.68
, 4.294, 0.04, 0.77, 0.70
, 4.320, 0.06, 0.81, 0.69
, 4.332, 0.06, 0.78, 0.73
, 4.363, 0.02, 0.77, 0.74
, 4.375, 0.03, 0.79, 0.71
, 4.425, 0.07, 0.80, 0.72
, 4.427, 0.06, 0.78, 0.73
, 4.428, 0.02, 0.77, 0.69
, 4.467, 0.01, 0.75, 0.68
, 4.468, 0.02, 0.75, 0.68
, 4.623, 0.05, 0.76, 0.63
, 4.625, 0.04, 0.78, 0.70
, 4.626, 0.05, 0.75, 0.65
, 4.627, -0.03, 0.74, 0.68
, 4.628, -0.04, 0.73, 0.73
, 4.629, 0.03, 0.77, 0.71
, 4.630, 0.09, 0.80, 0.64
, 4.631, 0.12, 0.81, 0.63
, 4.632, 0.06, 0.79, 0.70
, 4.706, 0.02, 0.77, 0.77
, 4.708, 0.05, 0.79, 0.74
, 4.709, 0.12, 0.84, 0.69
, 4.710, 0.05, 0.78, 0.69
, 4.711, 0.26, 0.87, 0.05
, 4.785, 0.04, 0.77, 0.94
, 4.787, 0.04, 0.80, 0.94
, 4.788, 0.06, 0.78, 0.66
, 4.808, 0.04, 0.75, 0.56
, 4.812, 0.03, 0.77, 0.67
, 4.853, 0.04, 0.78, 0.74
, 4.855, 0.05, 0.76, 0.71
 
