
 ,time,x,y,z
 ,0.002, -0.29, 0.59, 0.90
, 0.078, -0.26, 0.55, 0.85
, 0.080, -0.34, 0.67, 0.88
, 0.147, -0.22, 0.59, 0.88
, 0.192, -0.16, 0.55, 0.80
, 0.255, -0.15, 0.57, 0.85
, 0.257, -0.18, 0.57, 0.84
, 0.347, -0.18, 0.59, 0.72
, 0.383, -0.05, 0.58, 0.91
, 0.446, -0.13, 0.72, 0.81
, 0.485, -0.12, 0.63, 0.81
, 0.510, -0.01, 0.58, 0.93
, 0.581, -0.04, 0.53, 0.86
, 0.637, -0.01, 0.38, 0.93
, 0.684, -0.07, 0.54, 0.86
, 0.700, -0.15, 0.50, 0.79
, 0.777, -0.16, 0.57, 0.98
, 0.827, -0.12, 0.55, 0.98
, 0.902, -0.11, 0.56, 0.97
, 0.904, -0.05, 0.57, 0.97
, 0.986, -0.09, 0.52, 0.96
, 1.019, -0.07, 0.45, 0.90
, 1.066, -0.09, 0.49, 0.91
, 1.081, -0.12, 0.50, 0.88
, 1.145, -0.02, 0.59, 0.82
, 1.209, -0.03, 0.50, 0.97
, 1.261, -0.08, 0.55, 0.91
, 1.304, -0.02, 0.46, 0.92
, 1.337, -0.07, 0.44, 0.97
, 1.402, -0.10, 0.49, 0.94
, 1.462, -0.21, 0.54, 0.87
, 1.464, -0.13, 0.49, 0.93
, 1.526, -0.16, 0.60, 1.01
, 3.566, -0.30, 0.68, 0.87
, 3.567, -0.23, 0.64, 0.95
, 3.568, -0.23, 0.64, 0.95
, 3.569, -0.06, 0.49, 1.14
, 3.570, -0.18, 0.44, 0.18
, 3.571, -0.35, 0.47, 0.64
, 3.572, -0.20, 0.47, 0.66
, 3.573, -0.17, 0.10, -0.29
, 3.574, -0.23, 0.08, -0.90
, 3.575, -0.56, 0.06, -1.15
, 3.576, -0.38, 0.06, -0.76
, 3.577, -0.42, 0.03, -0.83
, 3.624, -0.26, -0.03, -1.07
, 3.678, -0.31, -0.02, -0.81
, 3.687, -0.25, -0.05, -0.60
, 3.752, -0.42, -0.07, -0.83
, 3.823, -0.28, -0.04, -1.03
, 3.880, -0.32, -0.02, -0.94
, 3.881, -0.25, 0.05, -0.96
, 3.944, -0.28, 0.04, -0.82
, 4.007, -0.15, -0.05, -0.86
, 4.076, -0.35, -0.14, -0.83
, 4.081, -0.28, -0.05, -0.87
, 4.136, -0.38, -0.13, -0.77
, 4.202, -0.31, -0.14, -0.78
, 4.269, -0.26, -0.12, -0.86
, 4.286, -0.32, -0.13, -0.80
, 4.330, -0.32, -0.10, -0.82
, 4.393, -0.37, -0.05, -1.14
, 4.459, -0.19, -0.12, -0.79
, 4.487, -0.29, -0.09, -0.92
, 4.517, -0.09, -0.18, -0.65
, 4.580, -0.24, -0.14, -0.81
, 4.645, -0.24, -0.20, -0.75
, 4.689, -0.20, -0.19, -0.76
, 4.709, -0.28, -0.20, -0.88
, 4.772, -0.17, -0.12, -1.10
, 4.836, -0.24, -0.14, -0.79
, 4.892, -0.23, -0.09, -0.92
, 4.900, -0.29, -0.02, -0.87
, 4.961, -0.25, -0.02, -0.84
, 5.029, -0.25, -0.06, -0.98
, 5.093, -0.24, -0.06, -0.91
, 5.097, -0.23, -0.09, -0.91
, 5.154, -0.30, -0.07, -0.76
, 5.217, -0.26, -0.07, -0.93
, 5.279, -0.25, -0.11, -0.76
, 5.293, -0.28, -0.08, -0.90
, 5.343, -0.29, -0.08, -1.01
, 5.408, -0.30, -0.03, -0.93
