
 ,time,x,y,z
 ,0.034, -0.14, 0.79, 0.65
, 0.103, -0.14, 0.80, 0.68
, 0.167, -0.13, 0.81, 0.70
, 0.193, -0.13, 0.79, 0.69
, 0.223, -0.04, 0.78, 0.65
, 0.288, -0.01, 0.66, 0.70
, 0.379, -0.01, 0.72, 0.62
, 0.400, -0.02, 0.72, 0.66
, 0.415, -0.08, 0.71, 0.60
, 0.478, -0.15, 0.80, 0.82
, 0.566, -0.15, 0.86, 0.71
, 0.595, -0.09, 0.81, 0.70
, 0.605, -0.05, 0.86, 0.78
, 0.677, 0.09, 0.78, 0.62
, 0.732, 0.07, 0.58, 0.74
, 0.796, -0.10, 0.62, 0.54
, 0.798, 0.02, 0.66, 0.63
, 0.873, 0.03, 0.67, 0.88
, 0.923, 0.02, 0.65, 0.93
, 0.993, 0.06, 0.63, 0.50
, 1.002, 0.04, 0.65, 0.77
, 1.076, 0.17, 0.70, 0.78
, 1.114, -0.20, 0.74, 0.86
, 1.177, -0.14, 0.58, 0.79
, 1.209, -0.04, 0.74, 0.68
, 1.240, -0.09, 0.79, 0.40
, 1.304, 0.06, 0.56, 1.06
, 1.883, -0.13, 0.78, 1.05
, 1.884, -0.13, 0.61, 0.78
, 1.885, -0.33, 0.50, 0.24
, 1.886, 0.32, 1.01, 1.82
, 1.888, -0.46, 0.46, 1.06
, 1.889, -0.39, 0.58, 0.93
, 1.890, -0.68, 0.29, -0.02
, 1.892, -0.75, 0.28, -0.16
, 1.893, -0.53, 0.49, 0.00
, 1.894, -0.65, 0.35, -0.06
, 1.896, -0.35, 0.88, -0.42
, 1.897, -0.64, 0.64, 0.02
, 1.940, -0.15, 0.93, -0.60
, 2.003, -0.30, 0.58, -0.40
, 2.005, -0.36, 0.72, -0.33
, 2.067, -0.23, 0.95, -0.51
, 2.130, -0.61, 0.80, 0.29
, 2.194, -0.72, 0.68, -0.29
, 2.206, -0.52, 0.81, -0.17
, 2.258, -0.41, 0.85, 0.04
, 2.321, -0.50, 0.77, -0.08
