
 ,time,x,y,z
 ,0.002, 0.19, 0.64, 0.19
, 0.021, 0.39, 0.55, 0.50
, 0.041, 0.31, 0.59, 0.98
, 0.061, -0.04, 0.64, 1.16
, 0.106, -0.19, 0.61, 0.96
, 0.108, -0.07, 0.45, 0.78
, 0.122, 0.00, 0.50, 1.00
, 0.142, 0.00, 0.57, 1.22
, 0.164, 0.11, 0.66, 0.84
, 0.183, 0.13, 0.67, 0.68
, 0.185, 0.08, 0.59, 0.83
, 0.222, 0.07, 0.58, 0.70
, 0.224, 0.14, 0.60, 0.90
, 0.248, 0.24, 0.58, 1.00
, 0.264, 0.28, 0.48, 0.95
, 0.283, 0.17, 0.33, 0.96
, 0.324, 0.06, 0.38, 0.94
, 0.326, 0.10, 0.44, 0.83
, 0.347, 0.05, 0.38, 0.97
, 0.364, -0.08, 0.77, 1.28
, 0.407, 0.17, 0.48, 0.96
, 0.409, 0.64, 0.23, 1.05
, 0.410, 0.41, 0.31, 1.01
, 0.430, 0.16, 0.53, 0.82
, 0.447, 0.19, 0.66, 0.77
, 0.465, 0.18, 0.23, 1.58
, 0.508, 0.38, 0.31, 0.77
, 0.510, 0.15, 0.41, 1.06
, 0.530, 0.08, 0.44, 1.09
, 0.547, 0.31, 0.32, 1.04
, 0.565, 0.27, 0.33, 1.03
, 0.737, 0.17, 0.45, 0.84
, 0.739, 0.23, 0.40, 1.00
, 0.740, 0.18, 0.49, 0.83
, 0.742, 0.18, 0.50, 0.88
, 0.743, 0.18, 0.46, 1.04
, 0.744, 0.16, 0.44, 0.91
, 0.746, 0.20, 0.45, 0.83
, 0.747, 0.31, 0.36, 0.83
, 0.748, 0.22, 0.41, 0.98
, 0.750, 0.18, 0.41, 0.99
, 0.766, 0.16, 0.42, 0.96
, 0.802, 0.17, 0.45, 0.89
, 0.804, 0.20, 0.44, 0.91
, 0.813, 0.17, 0.46, 0.87
, 0.829, 0.20, 0.43, 1.00
, 0.847, 0.17, 0.44, 1.01
, 0.890, 0.03, 0.50, 0.94
, 0.891, 0.00, 0.54, 0.93
, 0.912, 0.08, 0.40, 0.90
, 0.929, 0.06, 0.42, 0.94
, 0.948, 0.06, 0.48, 0.90
, 0.985, 0.17, 0.49, 1.02
, 0.989, 0.19, 0.47, 1.04
, 0.990, 0.11, 0.46, 0.95
, 1.008, 0.18, 0.44, 1.00
, 1.028, 0.13, 0.45, 0.97
, 1.055, 0.13, 0.44, 0.99
, 1.109, 0.09, 0.46, 0.94
, 1.119, 0.04, 0.51, 0.89
, 1.120, 0.04, 0.50, 0.94
, 1.129, 0.07, 0.40, 0.88
, 1.166, 0.01, 0.45, 0.86
, 1.169, -0.03, 0.44, 0.86
, 1.190, 0.02, 0.40, 0.94
, 1.191, 0.07, 0.45, 0.93
, 1.220, -0.03, 0.44, 0.94
, 1.237, -0.02, 0.47, 0.96
, 1.256, -0.04, 0.44, 0.94
, 1.271, -0.14, 0.47, 0.97
, 1.327, -0.04, 0.47, 0.93
, 1.329, -0.00, 0.42, 1.06
, 1.330, -0.03, 0.40, 1.12
, 1.353, -0.08, 0.43, 0.91
, 1.371, -0.05, 0.39, 0.84
, 1.425, -0.13, 0.45, 1.07
, 1.426, -0.06, 0.44, 0.97
, 1.427, -0.23, 0.46, 1.07
, 1.431, -0.27, 0.36, 0.83
, 1.452, -0.38, 0.33, 0.96
, 1.472, -0.41, 0.48, 1.19
, 1.511, -0.21, 0.52, 1.17
, 1.513, -0.16, 0.07, 0.85
, 1.533, -0.51, 0.23, 0.76
, 1.552, -0.65, 0.31, 0.54
, 1.615, -0.79, 0.18, 0.22
, 1.617, -0.92, -0.08, 0.45
, 1.624, -0.45, 0.29, 0.81
, 1.625, -1.07, -0.18, 0.73
, 1.633, -1.22, -0.47, 0.49
, 14.457, -1.14, -0.48, 0.76
, 14.458, -1.06, -0.39, 0.88
, 14.459, -0.66, -0.41, 0.49
, 14.460, -0.21, -0.44, -0.04
, 14.461, -0.07, -0.42, -0.28
, 14.462, -0.26, -0.26, -0.29
, 14.463, -0.47, -0.19, -0.10
, 14.464, -0.38, -0.15, 0.57
, 14.465, -0.65, -0.34, 0.32
, 14.466, -1.11, -0.16, 0.36
, 14.467, -1.24, -0.24, 0.26
, 14.469, -1.49, -0.22, 0.47
, 14.485, -0.62, 0.07, -0.66
, 14.510, -0.62, 0.07, -0.66
, 14.572, -0.62, 0.07, -0.66
, 14.635, -0.62, 0.07, -0.66
, 14.686, -0.62, 0.07, -0.66
, 14.699, -0.62, 0.07, -0.66
, 14.767, -0.62, 0.08, -0.66
, 14.829, -0.62, 0.07, -0.66
, 14.892, -0.62, 0.07, -0.66
, 14.896, -0.62, 0.07, -0.65
, 14.956, -0.62, 0.07, -0.66
, 15.021, -0.62, 0.07, -0.66
, 15.083, -0.62, 0.07, -0.66
, 15.091, -0.62, 0.07, -0.66
, 15.153, -0.62, 0.07, -0.66
, 15.211, -0.62, 0.07, -0.66
, 15.275, -0.61, 0.07, -0.66
, 15.292, -0.62, 0.07, -0.66
, 15.341, -0.62, 0.07, -0.67
, 15.403, -0.62, 0.07, -0.65
, 15.466, -0.62, 0.07, -0.65
, 15.493, -0.62, 0.07, -0.66
, 15.529, -0.61, 0.07, -0.67
, 15.593, -0.62, 0.07, -0.66
, 15.655, -0.62, 0.07, -0.65
, 15.697, -0.62, 0.07, -0.66
, 15.720, -0.62, 0.07, -0.65
, 15.821, -0.61, 0.07, -0.66
, 15.849, -0.62, 0.07, -0.66
, 15.895, -0.61, 0.07, -0.66
, 15.910, -0.61, 0.08, -0.66
, 15.971, -0.62, 0.07, -0.66
, 16.037, -0.62, 0.07, -0.65
, 16.102, -0.62, 0.07, -0.66
, 16.106, -0.62, 0.07, -0.66
, 16.164, -0.61, 0.07, -0.66
