
 ,time,x,y,z
 ,0.031, -0.08, 0.49, 1.02
, 0.032, -0.07, 0.48, 0.96
, 0.068, -0.13, 0.54, 0.91
, 0.108, -0.09, 0.51, 0.81
, 0.110, -0.08, 0.53, 0.85
, 0.111, -0.07, 0.52, 0.86
, 0.143, -0.09, 0.50, 0.97
, 0.144, -0.10, 0.52, 0.93
, 0.157, -0.07, 0.48, 1.05
, 0.179, -0.05, 0.48, 1.02
, 0.262, -0.08, 0.50, 0.97
, 0.264, -0.13, 0.52, 1.00
, 0.265, -0.09, 0.50, 1.08
, 0.267, -0.03, 0.47, 1.02
, 0.286, -0.03, 0.47, 0.99
, 0.323, -0.03, 0.46, 0.95
, 0.324, -0.03, 0.46, 0.97
, 0.384, 0.01, 0.44, 0.96
, 0.386, -0.05, 0.48, 1.00
, 0.387, 0.00, 0.44, 0.95
, 0.388, -0.04, 0.45, 0.97
, 0.410, -0.08, 0.48, 1.01
, 0.448, -0.04, 0.46, 1.03
, 0.449, -0.05, 0.47, 0.98
, 0.467, -0.07, 0.48, 0.94
, 0.508, -0.05, 0.48, 0.93
, 0.510, -0.06, 0.48, 0.95
, 0.527, -0.09, 0.49, 1.00
, 0.592, -0.10, 0.50, 1.00
, 0.594, -0.06, 0.47, 0.98
, 0.595, -0.05, 0.50, 0.92
, 0.597, -0.04, 0.49, 0.93
, 0.598, -0.04, 0.47, 0.93
, 0.642, -0.05, 0.47, 0.98
, 0.644, -0.07, 0.48, 0.96
, 0.692, -0.08, 0.48, 0.94
, 0.693, -0.03, 0.47, 1.06
, 0.695, -0.01, 0.45, 1.03
, 0.720, -0.03, 0.47, 1.03
, 0.763, -0.03, 0.46, 0.97
, 0.764, -0.04, 0.47, 0.98
, 0.765, -0.06, 0.46, 0.93
, 0.787, -0.07, 0.47, 0.95
, 0.827, -0.05, 0.47, 0.95
, 0.828, -0.06, 0.49, 0.95
, 0.853, -0.05, 0.48, 0.92
, 0.898, -0.04, 0.48, 0.95
, 0.899, -0.04, 0.47, 1.00
, 0.900, -0.05, 0.48, 0.99
, 0.928, -0.03, 0.47, 0.99
, 0.959, -0.02, 0.47, 0.93
, 0.960, -0.05, 0.47, 0.96
, 0.961, -0.05, 0.48, 0.92
, 1.000, -0.03, 0.46, 1.00
, 1.002, -0.03, 0.46, 1.01
, 1.052, -0.03, 0.46, 0.96
, 1.054, -0.03, 0.47, 0.97
, 1.075, -0.03, 0.46, 0.96
, 1.111, -0.04, 0.46, 0.97
, 1.113, -0.02, 0.46, 0.99
, 1.174, -0.02, 0.46, 0.99
, 1.175, -0.02, 0.46, 0.98
, 1.176, -0.03, 0.46, 0.98
, 1.177, -0.03, 0.46, 1.00
, 1.178, -0.02, 0.45, 0.97
, 1.216, -0.05, 0.44, 0.97
, 1.240, -0.04, 0.43, 1.00
, 1.242, -0.03, 0.41, 1.00
, 1.281, -0.03, 0.39, 0.97
, 1.282, -0.02, 0.41, 0.94
, 1.318, -0.04, 0.43, 0.89
, 1.319, -0.05, 0.46, 0.87
, 1.353, -0.08, 0.48, 0.93
, 1.355, -0.04, 0.44, 0.95
, 1.391, -0.08, 0.49, 0.99
, 1.392, -0.05, 0.48, 1.04
, 1.417, -0.05, 0.48, 1.06
, 1.567, -0.06, 0.47, 1.05
, 1.568, -0.04, 0.45, 1.04
, 1.570, -0.02, 0.44, 1.04
, 1.571, -0.02, 0.45, 1.02
, 1.572, 0.00, 0.44, 1.01
, 1.573, 0.01, 0.43, 1.01
, 1.574, 0.01, 0.43, 1.01
, 1.575, -0.03, 0.46, 1.03
, 1.576, -0.02, 0.43, 0.97
, 1.635, -0.03, 0.42, 1.00
, 1.636, -0.02, 0.41, 1.02
, 1.637, -0.03, 0.42, 1.01
, 1.662, -0.03, 0.43, 1.02
, 1.664, -0.02, 0.43, 0.98
, 1.717, -0.01, 0.43, 0.96
, 1.718, -0.02, 0.44, 0.95
, 1.745, -0.04, 0.45, 0.96
, 1.746, -0.03, 0.46, 0.96
, 1.747, -0.02, 0.43, 0.98
, 1.805, -0.00, 0.45, 0.95
, 1.806, -0.01, 0.45, 0.98
, 1.808, -0.03, 0.45, 1.00
, 1.849, -0.02, 0.45, 1.02
, 1.850, -0.02, 0.45, 1.00
, 1.877, -0.01, 0.46, 0.98
, 1.892, -0.02, 0.46, 0.96
, 1.911, -0.02, 0.46, 0.98
, 1.947, -0.02, 0.46, 1.01
, 1.948, -0.04, 0.46, 1.01
, 1.950, -0.02, 0.45, 0.99
, 1.986, -0.02, 0.45, 0.97
, 1.987, -0.03, 0.45, 0.97
