
 ,time,x,y,z
 ,0.011, 0.47, -0.44, 1.04
, 0.075, -0.38, -0.14, -0.12
, 0.139, -0.06, -0.40, -0.14
, 0.218, 0.82, -0.58, 0.34
, 0.265, 0.48, -0.25, 0.14
, 0.329, 0.48, -0.54, -0.07
, 0.413, 0.33, -0.44, 0.95
, 0.457, -0.69, -0.05, -0.27
, 0.521, 0.24, -0.34, 1.09
, 0.584, 0.32, -0.26, 0.01
, 0.647, -0.10, -0.80, -0.66
, 0.711, -0.00, -0.10, 1.36
, 0.775, -0.30, -0.61, -1.10
, 0.838, 0.70, -0.14, 0.89
, 0.911, -0.33, -0.83, -0.40
, 0.965, 0.76, 0.11, -0.33
, 1.029, -0.48, -0.71, 0.67
, 1.118, 0.50, -0.13, -0.41
, 1.154, -0.94, -0.70, -0.06
, 1.218, 0.34, -0.70, 0.08
, 1.282, 0.33, 0.01, 0.62
, 1.346, -0.11, -0.77, -0.45
, 1.414, 0.18, -0.42, 0.77
, 1.474, -0.49, -1.71, -1.07
, 1.539, -0.27, 0.76, 0.71
, 1.612, -0.09, -0.92, 0.68
, 1.664, -0.96, -0.82, -0.94
, 1.728, -0.20, -0.02, 0.95
, 1.812, 0.89, -0.53, -1.17
, 1.855, -0.01, -0.10, 0.68
, 1.920, 0.31, -0.65, -0.75
, 1.982, 0.08, -0.25, 0.54
, 2.045, 0.58, -0.51, -1.26
, 2.112, 0.38, -0.16, 0.80
, 2.174, -0.06, -0.28, -1.04
, 2.237, 0.44, 0.04, -0.20
, 2.315, -0.06, -0.55, -0.05
, 2.364, 0.54, 0.05, 0.09
, 2.428, -0.53, -0.74, 0.20
, 2.516, 0.28, -0.10, -0.00
, 2.553, 0.41, 0.05, -0.82
, 2.616, -0.48, -0.55, 0.50
, 2.680, 0.04, 0.21, -0.44
, 2.744, -0.12, -0.93, -0.63
, 2.808, 0.23, 0.28, 0.83
, 2.874, 0.29, -0.50, -0.32
, 2.936, 0.08, -0.67, 0.11
, 3.023, -0.28, 0.43, 0.73
, 3.065, -0.01, -1.09, -1.08
, 3.159, 0.29, 0.14, 0.79
, 3.208, -0.06, -0.72, -0.48
, 3.253, 0.56, -0.09, 0.02
, 3.317, -0.44, -0.12, 0.47
