
 ,time,x,y,z
 ,0.041, -0.14, 0.66, 0.82
, 0.094, -0.11, 0.64, 0.83
, 0.105, -0.06, 0.64, 0.85
, 0.191, -0.02, 0.61, 0.85
, 0.232, -0.07, 0.62, 0.83
, 0.293, -0.03, 0.61, 0.84
, 0.297, 0.01, 0.61, 0.83
, 0.359, 0.01, 0.59, 0.84
, 0.423, 0.04, 0.60, 0.83
, 0.493, -0.00, 0.60, 0.84
, 0.497, -0.06, 0.61, 0.87
, 0.549, 0.02, 0.59, 0.92
, 0.614, 0.02, 0.58, 0.86
, 0.682, -0.07, 0.59, 0.86
, 0.684, -0.01, 0.59, 0.88
, 0.741, -0.00, 0.62, 0.85
, 0.805, -0.04, 0.58, 0.84
, 0.894, -0.02, 0.60, 0.87
, 0.896, -0.05, 0.59, 0.85
, 0.932, -0.12, 0.54, 0.83
, 0.998, 0.03, 0.64, 0.89
, 1.059, -0.06, 0.60, 0.84
, 1.120, -0.03, 0.61, 0.89
, 1.122, -0.15, 0.59, 0.89
, 1.185, -0.01, 0.54, 0.86
, 1.249, -0.09, 0.55, 0.82
, 1.301, -0.08, 0.56, 0.86
, 1.326, -0.11, 0.58, 0.86
, 1.415, -0.07, 0.58, 0.94
, 1.441, -0.10, 0.58, 0.88
, 1.490, -0.14, 0.58, 0.84
, 1.505, -0.23, 0.59, 0.74
, 1.601, -0.19, 0.55, 0.81
, 1.630, -0.09, 0.63, 1.31
, 1.691, -0.19, 0.56, 1.00
, 1.694, -0.29, 0.50, 0.88
, 1.791, -0.43, 0.56, 0.31
, 17.003, -0.07, 0.70, 0.55
, 17.004, -0.67, 0.55, 0.51
, 17.005, -0.39, 0.60, 0.46
, 17.006, -0.49, 0.42, 0.05
, 17.007, -0.81, -0.04, 1.31
, 17.008, -0.62, 0.20, 0.48
, 17.009, -0.64, 0.19, 0.61
, 17.010, -0.66, 0.18, 0.43
, 17.011, -1.30, -0.13, 0.71
, 17.012, -1.18, 0.22, 0.51
, 17.013, -1.17, 0.04, 0.50
, 17.015, -1.01, 0.02, 0.29
, 17.031, -0.63, 0.11, -0.65
, 17.040, -0.76, -0.01, -0.54
, 17.061, -0.76, 0.00, -0.52
, 17.080, -0.75, 0.02, -0.53
, 17.101, -0.74, 0.02, -0.54
, 17.120, -0.73, 0.03, -0.55
, 17.140, -0.72, 0.03, -0.55
, 17.160, -0.73, 0.03, -0.55
, 17.181, -0.74, 0.05, -0.54
, 17.201, -0.73, 0.03, -0.54
, 17.202, -0.73, 0.03, -0.55
, 17.221, -0.72, 0.04, -0.54
, 17.241, -0.70, 0.05, -0.56
, 17.261, -0.75, -0.01, -0.52
, 17.281, -0.73, -0.00, -0.53
, 17.301, -0.73, 0.02, -0.54
, 17.324, -0.76, 0.05, -0.53
, 17.344, -0.80, 0.02, -0.48
, 17.364, -0.77, 0.03, -0.51
, 17.384, -0.73, 0.01, -0.51
, 17.405, -0.74, -0.01, -0.53
, 17.409, -0.74, 0.02, -0.52
, 17.425, -0.74, 0.02, -0.53
, 17.445, -0.72, 0.02, -0.56
, 17.465, -0.72, 0.02, -0.56
, 17.485, -0.72, 0.03, -0.54
, 17.505, -0.73, 0.03, -0.54
, 17.525, -0.73, 0.04, -0.57
, 17.545, -0.71, 0.04, -0.55
, 17.565, -0.73, 0.04, -0.53
, 17.586, -0.68, 0.06, -0.55
, 17.607, -0.75, 0.04, -0.59
, 17.611, -0.72, 0.03, -0.55
, 17.626, -0.72, 0.06, -0.58
, 17.646, -0.77, -0.01, -0.49
, 17.666, -0.80, -0.06, -0.41
, 17.686, -0.77, -0.01, -0.48
, 17.706, -0.75, -0.01, -0.50
, 17.726, -0.76, -0.02, -0.49
, 17.747, -0.74, -0.00, -0.53
, 17.767, -0.75, -0.00, -0.54
, 17.799, -0.71, 0.05, -0.60
, 17.817, -0.75, 0.01, -0.52
, 17.820, -0.72, 0.07, -0.59
, 17.827, -0.72, 0.02, -0.58
, 17.855, -0.73, -0.01, -0.58
, 17.865, -0.71, -0.15, -0.59
, 17.886, -0.71, -0.28, -0.54
, 17.906, -0.65, -0.18, -0.57
, 17.926, -0.64, -0.23, -0.52
, 17.946, -0.50, 0.06, -0.51
, 17.966, -0.65, 0.07, -0.62
, 17.988, -0.67, 0.23, -0.62
, 18.010, -0.68, -0.04, -0.57
, 18.011, -0.80, 0.11, -0.61
, 18.028, -0.83, 0.03, -0.49
, 18.050, -0.76, -0.03, -0.60
, 18.287, -0.72, -0.01, -0.54
, 18.352, -0.70, 0.02, -0.57
, 18.415, -0.71, -0.03, -0.58
, 18.479, -0.73, -0.08, -0.53
, 18.545, -0.70, -0.03, -0.60
, 18.608, -0.73, -0.04, -0.60
, 18.613, -0.72, -0.05, -0.57
, 18.671, -0.69, -0.03, -0.57
, 18.735, -0.72, -0.03, -0.53
, 18.798, -0.72, -0.02, -0.58
, 18.815, -0.70, -0.03, -0.57
, 18.860, -0.66, -0.09, -0.57
, 18.929, -0.68, -0.07, -0.55
, 18.992, -0.67, 0.07, -0.53
, 19.017, -0.67, -0.03, -0.55
, 19.052, -0.73, 0.01, -0.58
, 19.117, -0.73, 0.02, -0.53
, 19.181, -0.72, -0.00, -0.61
, 19.218, -0.73, 0.01, -0.57
, 19.243, -0.71, -0.01, -0.57
, 19.307, -0.72, 0.01, -0.56
, 19.369, -0.72, 0.01, -0.57
, 19.422, -0.72, 0.01, -0.57
, 19.431, -0.73, 0.00, -0.57
, 19.504, -0.72, -0.01, -0.56
, 19.563, -0.71, 0.01, -0.54
, 19.621, -0.71, 0.00, -0.55
, 19.626, -0.71, 0.00, -0.57
, 19.688, -0.72, -0.02, -0.58
, 19.751, -0.73, -0.01, -0.53
, 19.817, -0.75, -0.01, -0.54
, 19.822, -0.73, -0.02, -0.55
, 19.879, -0.70, -0.02, -0.59
, 19.942, -0.73, -0.02, -0.56
, 20.005, -0.71, -0.00, -0.61
, 20.025, -0.70, -0.01, -0.59
, 20.072, -0.70, -0.02, -0.58
, 20.134, -0.71, -0.01, -0.57
, 20.197, -0.71, -0.01, -0.58
, 20.226, -0.72, -0.01, -0.58
, 20.259, -0.72, -0.01, -0.56
, 20.325, -0.71, -0.01, -0.54
, 20.388, -0.71, -0.02, -0.56
, 20.431, -0.71, -0.01, -0.55
, 20.454, -0.70, -0.03, -0.57
, 20.515, -0.73, -0.00, -0.57
, 20.579, -0.70, 0.01, -0.58
, 20.628, -0.72, -0.00, -0.57
, 20.641, -0.71, 0.02, -0.58
, 20.710, -0.72, 0.01, -0.57
, 20.769, -0.73, -0.01, -0.54
, 20.831, -0.72, -0.02, -0.56
, 20.836, -0.70, -0.05, -0.57
, 20.898, -0.73, -0.02, -0.56
, 20.959, -0.73, -0.02, -0.55
, 21.023, -0.70, -0.03, -0.55
, 21.037, -0.72, -0.02, -0.55
, 21.087, -0.72, -0.03, -0.53
, 21.150, -0.72, -0.02, -0.57
, 21.217, -0.72, 0.08, -0.54
, 21.232, -0.72, 0.01, -0.55
, 21.279, -0.73, -0.03, -0.57
, 21.341, -0.72, -0.01, -0.58
, 21.404, -0.74, 0.03, -0.53
, 21.434, -0.73, 0.00, -0.56
, 21.470, -0.74, -0.00, -0.56
, 21.532, -0.73, -0.12, -0.58
, 21.597, -0.75, -0.03, -0.56
, 21.641, -0.74, -0.06, -0.57
, 21.660, -0.74, -0.01, -0.57
, 21.723, -0.74, -0.02, -0.54
, 21.786, -0.73, -0.03, -0.53
, 21.839, -0.73, -0.02, -0.54
, 21.848, -0.74, -0.03, -0.55
, 21.916, -0.73, -0.03, -0.54
, 21.978, -0.73, -0.02, -0.54
, 22.039, -0.72, -0.02, -0.53
, 22.043, -0.71, -0.02, -0.52
, 22.105, -0.76, -0.02, -0.59
, 22.169, -0.72, 0.01, -0.55
, 22.235, -0.71, -0.04, -0.57
, 22.240, -0.73, -0.01, -0.57
, 22.303, -0.72, -0.03, -0.57
, 22.359, -0.70, 0.03, -0.54
, 22.421, -0.73, 0.00, -0.56
, 22.442, -0.71, 0.00, -0.56
, 22.487, -0.76, -0.01, -0.56
, 22.549, -0.70, -0.00, -0.55
, 22.614, -0.73, 0.01, -0.57
, 22.651, -0.74, 0.01, -0.56
, 22.676, -0.73, 0.03, -0.56
, 22.739, -0.74, -0.02, -0.58
, 22.803, -0.72, -0.03, -0.56
, 22.846, -0.73, -0.02, -0.56
, 22.866, -0.73, -0.00, -0.54
, 22.932, -0.72, -0.02, -0.55
, 22.995, -0.72, -0.01, -0.55
, 23.048, -0.72, -0.01, -0.56
, 23.062, -0.72, -0.01, -0.58
, 23.122, -0.73, 0.01, -0.57
, 23.184, -0.72, 0.00, -0.56
, 23.457, -0.72, 0.01, -0.56
, 23.467, -0.71, 0.00, -0.57
, 23.491, -0.72, 0.00, -0.57
, 23.512, -0.71, 0.01, -0.56
, 23.528, -0.72, 0.00, -0.58
, 23.548, -0.71, 0.01, -0.56
, 23.578, -0.74, 0.02, -0.56
, 23.588, -0.69, -0.02, -0.59
, 23.612, -0.74, 0.04, -0.54
, 23.629, -0.71, 0.01, -0.57
, 23.650, -0.71, 0.01, -0.56
, 23.655, -0.72, 0.01, -0.57
, 23.669, -0.72, 0.01, -0.56
, 23.692, -0.72, 0.02, -0.56
, 23.711, -0.71, 0.01, -0.57
, 23.729, -0.72, 0.01, -0.57
, 23.750, -0.72, 0.01, -0.56
, 23.773, -0.72, 0.01, -0.56
, 23.790, -0.72, 0.00, -0.57
, 23.810, -0.71, 0.01, -0.56
, 23.830, -0.72, 0.01, -0.57
, 23.852, -0.72, 0.01, -0.56
, 23.856, -0.72, 0.01, -0.57
, 23.870, -0.70, 0.01, -0.56
, 23.892, -0.72, 0.01, -0.56
, 23.911, -0.71, 0.01, -0.56
, 23.936, -0.71, 0.01, -0.56
, 23.951, -0.72, 0.01, -0.57
, 23.973, -0.73, 0.01, -0.57
, 23.993, -0.71, 0.01, -0.57
, 24.011, -0.72, 0.01, -0.57
, 24.033, -0.72, 0.01, -0.57
, 24.053, -0.71, 0.01, -0.56
, 24.057, -0.71, 0.01, -0.57
, 24.071, -0.71, 0.01, -0.57
, 24.097, -0.71, 0.00, -0.57
, 24.112, -0.71, 0.01, -0.57
, 24.132, -0.72, 0.01, -0.57
, 24.152, -0.72, 0.01, -0.57
, 24.174, -0.71, 0.00, -0.57
, 24.193, -0.71, 0.00, -0.57
, 24.213, -0.71, 0.01, -0.57
, 24.236, -0.72, 0.01, -0.57
, 24.256, -0.71, 0.01, -0.57
, 24.259, -0.71, 0.01, -0.57
, 24.273, -0.71, 0.02, -0.56
, 24.295, -0.71, 0.01, -0.56
, 24.313, -0.71, 0.01, -0.57
, 24.332, -0.71, 0.01, -0.57
, 24.354, -0.71, 0.01, -0.57
, 24.372, -0.72, 0.01, -0.57
, 24.394, -0.71, 0.01, -0.57
, 24.418, -0.72, 0.01, -0.57
, 24.433, -0.71, 0.01, -0.56
, 24.453, -0.72, 0.01, -0.57
, 24.454, -0.71, 0.01, -0.57
, 24.475, -0.72, 0.01, -0.56
, 24.495, -0.71, 0.01, -0.56
, 24.518, -0.72, 0.01, -0.56
, 24.534, -0.72, 0.01, -0.56
, 24.554, -0.72, 0.01, -0.57
, 24.576, -0.71, 0.01, -0.58
, 24.600, -0.72, 0.01, -0.57
, 24.618, -0.72, 0.01, -0.57
, 24.636, -0.71, 0.01, -0.56
, 24.658, -0.72, 0.01, -0.56
, 24.662, -0.71, 0.01, -0.57
, 24.680, -0.73, -0.00, -0.55
, 24.696, -0.72, -0.00, -0.57
, 24.721, -0.72, 0.01, -0.56
, 24.748, -0.71, 0.01, -0.56
, 24.757, -0.71, 0.01, -0.57
, 24.778, -0.72, 0.01, -0.56
, 24.797, -0.72, 0.01, -0.56
, 24.817, -0.72, 0.01, -0.56
, 24.842, -0.72, 0.01, -0.56
, 24.859, -0.72, 0.01, -0.56
, 24.862, -0.72, 0.01, -0.56
, 24.877, -0.72, 0.01, -0.56
, 24.898, -0.72, 0.01, -0.56
, 24.921, -0.72, 0.01, -0.56
, 24.938, -0.71, 0.01, -0.56
, 24.958, -0.72, 0.01, -0.57
, 24.981, -0.71, 0.01, -0.57
, 24.999, -0.71, 0.01, -0.57
, 25.019, -0.72, 0.00, -0.57
, 25.040, -0.72, 0.01, -0.57
, 25.068, -0.72, 0.01, -0.56
, 25.072, -0.72, 0.01, -0.56
, 25.089, -0.72, 0.00, -0.56
, 25.099, -0.71, 0.01, -0.56
, 25.119, -0.71, 0.01, -0.57
, 25.143, -0.71, 0.01, -0.57
, 25.160, -0.72, 0.01, -0.57
, 25.179, -0.71, 0.01, -0.57
, 25.207, -0.72, 0.01, -0.57
, 25.220, -0.72, 0.01, -0.56
, 25.242, -0.72, 0.01, -0.56
, 25.263, -0.72, 0.01, -0.57
, 25.268, -0.71, 0.01, -0.57
, 25.284, -0.71, 0.01, -0.57
, 25.310, -0.71, 0.01, -0.57
, 25.320, -0.71, 0.01, -0.57
, 25.347, -0.72, 0.01, -0.57
, 25.361, -0.72, 0.01, -0.56
, 25.383, -0.71, 0.01, -0.56
, 25.401, -0.72, 0.01, -0.57
, 25.421, -0.71, 0.01, -0.57
, 25.443, -0.72, 0.01, -0.57
, 25.464, -0.72, 0.01, -0.57
, 25.468, -0.72, 0.01, -0.56
, 25.486, -0.71, 0.01, -0.56
, 25.503, -0.72, 0.01, -0.57
, 25.525, -0.72, 0.01, -0.57
, 25.542, -0.72, 0.01, -0.57
, 25.563, -0.72, 0.01, -0.57
, 25.584, -0.71, 0.01, -0.57
, 25.605, -0.71, 0.01, -0.57
, 25.623, -0.71, 0.01, -0.57
, 25.644, -0.71, 0.01, -0.57
, 25.665, -0.71, 0.01, -0.57
, 25.669, -0.71, 0.01, -0.57
, 25.683, -0.72, 0.01, -0.57
, 25.704, -0.71, 0.01, -0.57
, 25.726, -0.72, 0.01, -0.57
, 25.744, -0.71, 0.01, -0.57
, 25.770, -0.72, 0.01, -0.57
, 25.784, -0.71, 0.01, -0.57
, 25.809, -0.71, 0.01, -0.57
, 25.828, -0.71, 0.02, -0.57
, 25.845, -0.71, 0.00, -0.57
, 25.866, -0.71, 0.01, -0.57
, 25.869, -0.72, 0.00, -0.57
, 25.885, -0.71, 0.01, -0.57
, 25.905, -0.71, 0.01, -0.57
, 25.935, -0.72, 0.01, -0.57
, 25.944, -0.71, 0.01, -0.57
, 25.963, -0.71, 0.01, -0.56
, 25.983, -0.71, 0.01, -0.57
, 26.004, -0.71, 0.01, -0.57
, 26.024, -0.71, 0.01, -0.57
, 26.044, -0.71, 0.01, -0.57
, 26.064, -0.71, 0.01, -0.57
, 26.067, -0.71, 0.01, -0.57
, 26.084, -0.71, 0.02, -0.57
, 26.104, -0.71, 0.01, -0.57
, 26.127, -0.71, 0.01, -0.57
, 26.145, -0.72, 0.01, -0.57
, 26.166, -0.71, 0.01, -0.56
, 26.187, -0.71, 0.01, -0.56
, 26.207, -0.72, 0.01, -0.56
, 26.235, -0.72, 0.01, -0.57
, 26.247, -0.72, 0.01, -0.57
, 26.268, -0.72, 0.01, -0.57
, 26.273, -0.71, 0.01, -0.57
, 26.287, -0.71, 0.01, -0.58
, 26.307, -0.71, 0.01, -0.58
, 26.328, -0.71, 0.01, -0.57
, 26.348, -0.71, 0.01, -0.57
, 26.368, -0.71, 0.01, -0.56
, 26.388, -0.71, 0.01, -0.56
, 26.408, -0.71, 0.01, -0.57
, 26.428, -0.71, 0.01, -0.57
, 26.448, -0.71, 0.01, -0.57
, 26.469, -0.71, 0.01, -0.57
, 26.473, -0.71, 0.01, -0.57
, 26.489, -0.72, 0.01, -0.57
, 26.509, -0.71, 0.01, -0.57
, 26.529, -0.71, 0.01, -0.57
, 26.549, -0.72, 0.01, -0.57
, 26.569, -0.71, 0.01, -0.57
, 26.589, -0.71, 0.01, -0.57
, 26.610, -0.71, 0.01, -0.58
, 26.630, -0.71, 0.01, -0.57
, 26.650, -0.71, 0.01, -0.58
, 26.671, -0.71, 0.01, -0.57
, 26.675, -0.71, 0.01, -0.57
, 26.690, -0.71, 0.01, -0.57
, 26.710, -0.71, 0.01, -0.57
, 26.731, -0.70, 0.00, -0.58
, 26.751, -0.71, 0.01, -0.56
, 26.771, -0.72, 0.01, -0.58
, 26.791, -0.72, 0.01, -0.56
, 26.811, -0.71, 0.01, -0.56
, 26.831, -0.71, 0.01, -0.57
, 26.851, -0.72, 0.01, -0.57
, 26.872, -0.71, 0.01, -0.57
, 26.877, -0.71, 0.01, -0.57
, 26.892, -0.71, 0.01, -0.57
, 26.912, -0.71, 0.01, -0.57
, 26.932, -0.71, 0.01, -0.58
, 26.952, -0.71, 0.01, -0.57
, 27.188, -0.71, 0.01, -0.57
, 27.252, -0.71, 0.02, -0.57
, 27.317, -0.71, 0.01, -0.57
, 27.380, -0.71, 0.01, -0.57
, 27.449, -0.71, 0.01, -0.57
, 27.485, -0.71, 0.01, -0.57
, 27.508, -0.71, 0.01, -0.57
, 27.571, -0.71, 0.01, -0.57
, 27.636, -0.71, 0.01, -0.57
, 27.680, -0.71, 0.01, -0.57
, 27.697, -0.71, 0.01, -0.57
, 27.764, -0.71, 0.01, -0.57
, 27.825, -0.71, 0.01, -0.57
, 27.880, -0.71, 0.01, -0.57
, 27.892, -0.71, 0.01, -0.57
