
 ,time,x,y,z
 ,0.005, -0.15, 0.87, 0.64
, 0.010, -0.05, 0.92, 0.51
, 0.075, -0.11, 0.87, 0.82
, 0.164, 0.16, 0.76, 0.74
, 0.202, 0.05, 0.86, 0.38
, 0.207, 0.03, 0.83, 0.65
, 0.266, 0.14, 0.76, 0.56
, 0.329, 0.08, 0.80, 0.56
, 0.393, 0.15, 0.84, 0.53
, 0.410, 0.11, 0.85, 0.55
, 0.465, 0.16, 0.76, 0.61
, 0.520, -0.11, 0.84, 0.35
, 0.584, -0.15, 0.85, 0.42
, 0.611, -0.03, 0.82, 0.46
, 0.665, -0.07, 0.88, 0.44
, 0.711, -0.02, 0.80, 0.39
, 0.774, 0.07, 0.83, 0.61
, 0.811, -0.01, 0.84, 0.48
, 0.864, -0.11, 0.84, 0.63
, 0.901, -0.10, 0.87, 0.57
, 0.965, -0.04, 0.87, 0.50
, 1.013, -0.09, 0.85, 0.59
, 1.028, -0.12, 0.84, 0.63
, 1.092, -0.08, 0.81, 0.66
, 1.157, -0.10, 0.89, 0.55
, 1.214, -0.07, 0.87, 0.53
, 1.221, -0.02, 0.92, 0.37
, 1.291, 0.04, 0.86, 0.63
, 1.360, -0.06, 0.84, 0.53
, 1.410, -0.05, 0.81, 0.63
, 1.419, -0.03, 0.84, 0.59
, 1.506, -0.05, 0.81, 0.62
, 1.565, -0.08, 0.82, 0.58
, 1.601, -0.02, 0.80, 0.57
, 1.617, -0.08, 0.83, 0.57
, 1.665, -0.11, 0.87, 0.50
, 1.728, -0.24, 0.77, 0.57
, 1.791, -0.35, 0.82, 0.36
, 1.821, -0.30, 0.81, 0.47
, 1.854, -0.27, -0.04, 0.62
, 1.918, 1.41, 0.56, 0.27
, 46.615, 1.05, 0.63, 0.88
, 46.616, 0.73, 0.38, 0.59
, 46.617, 0.87, -0.17, 0.41
, 46.618, 1.49, 0.13, 1.15
, 46.619, 0.90, 0.22, 0.19
, 46.620, 1.00, -0.02, 0.68
, 46.621, 0.65, -0.02, 0.48
, 46.622, 0.97, -0.27, 0.68
, 46.623, 0.44, 0.23, 0.86
, 46.624, 0.88, 0.04, 0.58
, 46.625, 1.22, 0.16, 0.19
, 46.626, 1.12, -0.34, 0.67
, 46.675, 0.22, -0.23, -0.87
, 46.739, 0.23, -0.23, -0.87
, 46.741, 0.23, -0.23, -0.87
, 46.801, 0.22, -0.23, -0.87
, 46.864, 0.23, -0.23, -0.87
, 46.928, 0.22, -0.23, -0.87
, 46.940, 0.22, -0.23, -0.87
, 46.993, 0.22, -0.23, -0.87
, 47.058, 0.22, -0.23, -0.87
, 47.348, 0.22, -0.24, -0.87
, 47.366, 0.23, -0.23, -0.87
, 47.384, 0.23, -0.23, -0.87
, 47.412, 0.23, -0.23, -0.87
, 47.425, 0.22, -0.23, -0.87
, 47.445, 0.22, -0.23, -0.87
, 47.468, 0.22, -0.23, -0.87
, 47.490, 0.23, -0.23, -0.86
, 47.505, 0.23, -0.23, -0.86
, 47.531, 0.23, -0.24, -0.87
, 47.548, 0.23, -0.23, -0.87
, 47.552, 0.23, -0.23, -0.87
, 47.570, 0.22, -0.23, -0.87
, 47.592, 0.23, -0.23, -0.87
, 47.606, 0.23, -0.23, -0.87
, 47.626, 0.23, -0.23, -0.87
, 47.647, 0.22, -0.23, -0.87
, 47.669, 0.23, -0.24, -0.87
, 47.687, 0.23, -0.24, -0.87
, 47.706, 0.22, -0.24, -0.87
, 47.733, 0.23, -0.24, -0.87
, 47.748, 0.23, -0.23, -0.87
, 47.752, 0.23, -0.23, -0.87
, 47.767, 0.22, -0.23, -0.87
, 47.793, 0.22, -0.23, -0.87
, 47.813, 0.22, -0.24, -0.87
, 47.827, 0.22, -0.23, -0.87
, 47.852, 0.22, -0.23, -0.87
, 47.868, 0.22, -0.23, -0.87
, 47.890, 0.22, -0.23, -0.87
, 47.908, 0.23, -0.23, -0.87
, 47.934, 0.22, -0.23, -0.87
, 47.949, 0.22, -0.23, -0.87
, 47.953, 0.22, -0.23, -0.87
, 47.968, 0.22, -0.23, -0.87
, 47.996, 0.22, -0.23, -0.87
, 48.009, 0.22, -0.23, -0.87
, 48.030, 0.22, -0.23, -0.87
, 48.051, 0.22, -0.23, -0.87
, 48.071, 0.22, -0.23, -0.87
, 48.091, 0.22, -0.23, -0.87
, 48.117, 0.23, -0.23, -0.88
, 48.129, 0.22, -0.23, -0.86
, 48.158, 0.22, -0.23, -0.87
, 48.162, 0.22, -0.23, -0.86
, 48.179, 0.24, -0.23, -0.87
, 48.190, 0.23, -0.22, -0.86
, 48.210, 0.22, -0.22, -0.87
, 48.232, 0.23, -0.22, -0.87
, 48.252, 0.23, -0.23, -0.87
, 48.274, 0.23, -0.23, -0.87
, 48.291, 0.23, -0.23, -0.87
, 48.319, 0.22, -0.23, -0.87
, 48.331, 0.22, -0.23, -0.87
, 48.354, 0.23, -0.23, -0.87
, 48.358, 0.22, -0.23, -0.87
, 48.372, 0.22, -0.23, -0.87
, 48.395, 0.22, -0.23, -0.87
, 48.419, 0.23, -0.23, -0.87
, 48.432, 0.23, -0.23, -0.87
, 48.453, 0.22, -0.23, -0.87
, 48.481, 0.22, -0.23, -0.87
, 48.492, 0.22, -0.23, -0.87
, 48.513, 0.23, -0.23, -0.87
, 48.533, 0.22, -0.23, -0.87
, 48.555, 0.22, -0.23, -0.87
, 48.559, 0.22, -0.24, -0.87
, 48.576, 0.22, -0.24, -0.87
, 48.593, 0.22, -0.24, -0.87
, 48.614, 0.22, -0.23, -0.87
, 48.633, 0.22, -0.23, -0.87
, 48.654, 0.22, -0.24, -0.87
, 48.674, 0.22, -0.23, -0.87
, 48.693, 0.22, -0.24, -0.88
, 48.714, 0.22, -0.23, -0.88
, 48.736, 0.23, -0.23, -0.87
, 48.763, 0.22, -0.23, -0.87
, 48.767, 0.23, -0.23, -0.86
, 48.783, 0.23, -0.23, -0.86
, 48.796, 0.22, -0.23, -0.87
, 48.814, 0.21, -0.23, -0.87
, 48.840, 0.22, -0.23, -0.87
, 48.855, 0.23, -0.23, -0.86
, 48.875, 0.23, -0.23, -0.87
, 48.900, 0.23, -0.23, -0.87
, 48.918, 0.22, -0.23, -0.86
, 48.935, 0.23, -0.23, -0.87
, 48.964, 0.22, -0.23, -0.87
, 48.968, 0.23, -0.23, -0.87
, 48.985, 0.23, -0.23, -0.86
, 48.996, 0.23, -0.23, -0.87
, 49.018, 0.23, -0.23, -0.87
, 49.038, 0.23, -0.24, -0.87
, 49.063, 0.22, -0.23, -0.87
, 49.076, 0.22, -0.23, -0.86
