
 ,time,x,y,z
 ,0.036, -0.13, 0.21, -0.02
, 0.098, 0.10, 0.10, 0.37
, 0.161, -0.00, 0.09, -0.36
, 0.226, 0.31, -0.21, 0.02
, 0.289, -0.28, 0.21, 0.19
, 0.353, -0.18, 0.15, -0.15
, 0.417, 0.39, -0.12, 0.63
, 0.483, -0.04, -0.01, -0.54
, 0.543, 0.24, -0.14, 0.38
, 0.606, -0.19, 0.01, -0.45
, 0.683, -0.54, 0.27, 0.03
, 0.734, 0.12, -0.02, 0.16
, 0.798, -0.07, -0.04, -0.05
, 0.861, 0.09, -0.20, -0.03
, 0.925, 0.03, 0.04, -0.08
, 0.988, -0.21, 0.05, -0.18
, 1.052, 0.04, 0.16, -0.08
, 1.115, -0.16, 0.06, 0.40
, 1.178, 0.04, 0.23, 0.23
, 1.242, 0.11, 0.14, 0.34
, 1.306, -0.04, 0.00, 0.39
, 1.369, 0.17, -0.06, -0.01
, 1.434, -0.16, 0.38, 0.37
, 1.512, -0.12, 0.19, -0.28
, 1.560, 0.04, -0.13, -0.08
, 1.625, -0.08, -0.00, -0.76
, 1.701, -0.31, 0.31, -0.25
, 1.752, -0.39, 0.13, 0.16
, 1.817, 0.22, -0.09, 0.20
, 1.878, -0.12, 0.32, -0.31
, 1.942, 0.06, 0.10, 0.37
, 2.005, -0.28, 0.35, 0.07
, 2.069, -0.01, 0.10, 0.13
, 2.132, -0.17, 0.18, -0.30
, 2.203, 0.16, 0.05, -0.20
, 2.259, -0.05, 0.31, -0.12
, 2.323, 0.08, 0.17, -0.02
, 2.403, -0.01, 0.03, 0.18
, 2.451, -0.02, 0.03, 0.07
, 2.513, 0.12, 0.12, -0.05
, 2.578, 0.01, 0.15, -0.14
, 2.641, 0.01, 0.05, -0.12
, 2.732, 0.12, 0.06, -0.20
, 2.769, -0.10, -0.01, 0.18
, 2.832, 0.07, 0.01, -0.05
, 2.904, 0.00, 0.13, -0.19
, 2.959, 0.13, 0.06, 0.16
, 3.024, 0.05, 0.03, -0.11
, 3.090, 0.14, 0.14, 0.09
, 3.153, -0.22, -0.10, 0.30
, 3.213, 0.59, 0.53, -0.17
, 3.276, -0.27, -0.21, -0.26
, 3.343, -0.08, -0.10, -0.24
, 3.428, 0.63, 0.38, 0.43
, 3.472, 0.04, 0.04, 0.22
, 3.551, 0.16, -0.07, -0.04
, 3.634, 0.08, 0.07, -0.40
, 3.666, 0.26, 0.00, -0.13
, 3.766, 0.20, 0.12, 0.22
, 3.809, 0.16, -0.02, -0.16
, 3.884, 0.15, -0.00, -0.21
, 3.917, 0.20, 0.04, -0.16
, 3.976, 0.11, -0.05, 0.18
, 4.041, 0.09, 0.04, 0.37
, 4.105, 0.16, -0.03, 0.13
, 4.169, 0.13, 0.10, 0.34
, 4.250, -0.35, 0.16, 1.59
, 4.341, 0.13, -0.21, 1.33
, 4.366, 0.26, -0.50, 0.46
, 4.438, 0.74, -0.60, -0.50
, 4.490, -0.72, 0.29, -0.75
, 4.556, 0.03, -0.06, -2.33
, 4.612, 0.46, -1.52, 0.68
, 4.679, 0.15, -0.24, -1.11
, 4.739, 0.87, -0.49, -0.90
, 4.805, 0.27, -0.91, -0.12
, 4.866, 0.07, -0.60, 0.29
, 4.934, -0.07, -0.65, 0.78
, 5.061, 0.02, -0.29, -0.05
, 5.063, 0.20, -0.62, -0.41
, 5.120, 0.38, -0.59, -0.47
, 5.183, -0.39, -0.78, -0.08
, 5.255, 0.15, -0.35, -0.09
, 5.318, -0.18, -0.40, -0.23
, 5.377, 0.15, -0.50, 0.53
, 5.526, 0.00, -0.48, 0.57
, 5.529, -0.10, -0.65, 0.24
, 5.573, 0.03, -0.39, 0.18
, 5.629, -0.08, -0.47, 0.24
, 5.692, 0.06, -0.36, 0.44
