
 ,time,x,y,z
 ,0.034, -0.14, 0.57, 0.83
, 0.067, -0.12, 0.55, 0.89
, 0.097, -0.12, 0.55, 0.92
, 0.160, -0.05, 0.54, 0.90
, 0.226, -0.08, 0.52, 0.89
, 0.268, -0.07, 0.53, 0.91
, 0.288, -0.07, 0.54, 0.93
, 0.351, -0.09, 0.53, 0.89
, 0.421, -0.08, 0.53, 0.88
, 0.470, -0.08, 0.53, 0.89
, 0.483, -0.07, 0.53, 0.90
, 0.542, -0.03, 0.53, 0.96
, 0.603, -0.08, 0.55, 0.94
, 0.669, -0.04, 0.53, 0.91
, 0.672, -0.05, 0.53, 0.94
, 0.924, -0.13, 0.58, 0.93
, 0.938, -0.02, 0.53, 0.91
, 0.955, -0.03, 0.54, 0.93
, 0.973, -0.05, 0.52, 0.86
, 0.993, -0.03, 0.51, 0.92
, 1.014, -0.07, 0.53, 0.88
, 1.033, -0.06, 0.53, 0.86
, 1.056, -0.02, 0.51, 0.92
, 1.074, -0.00, 0.51, 0.93
, 1.093, -0.03, 0.53, 0.95
, 1.115, -0.02, 0.54, 0.95
, 1.134, -0.03, 0.53, 0.93
, 1.163, -0.04, 0.54, 0.91
, 1.174, -0.04, 0.53, 0.93
, 1.194, -0.03, 0.53, 0.98
, 1.218, -0.03, 0.53, 0.94
, 1.236, -0.03, 0.53, 0.90
, 1.263, -0.03, 0.53, 0.90
, 1.277, -0.04, 0.52, 0.89
, 1.279, -0.03, 0.53, 0.93
, 1.295, -0.02, 0.52, 0.93
, 1.317, -0.02, 0.52, 0.91
, 1.335, -0.03, 0.51, 0.90
, 1.365, -0.02, 0.55, 0.89
, 1.376, -0.02, 0.53, 0.90
, 1.396, -0.05, 0.52, 0.93
, 1.418, -0.06, 0.53, 0.96
, 1.436, -0.09, 0.49, 0.95
, 1.464, -0.16, 0.55, 0.96
, 1.486, -0.06, 0.53, 0.92
, 1.488, -0.13, 0.56, 0.87
, 1.500, -0.06, 0.59, 0.90
, 1.516, 0.02, 0.57, 0.87
, 1.544, 0.03, 0.56, 0.92
, 1.557, 0.09, 0.54, 0.94
, 1.577, 0.09, 0.53, 0.89
, 1.601, 0.10, 0.51, 0.91
, 1.620, 0.03, 0.51, 0.98
, 1.639, -0.01, 0.47, 1.00
, 1.659, 0.00, 0.48, 0.95
, 1.678, -0.04, 0.49, 1.01
, 1.679, 0.02, 0.53, 0.93
, 1.698, -0.04, 0.51, 0.93
, 1.721, -0.02, 0.52, 0.90
, 1.738, 0.01, 0.53, 0.91
, 1.762, 0.00, 0.52, 0.89
, 1.784, -0.01, 0.54, 0.93
, 1.800, -0.03, 0.54, 0.92
, 1.818, -0.03, 0.54, 0.91
, 1.853, -0.02, 0.53, 0.91
, 1.863, -0.04, 0.52, 0.90
, 1.881, -0.06, 0.53, 0.89
, 1.883, -0.02, 0.53, 0.91
, 1.901, -0.07, 0.52, 0.91
, 1.919, -0.02, 0.52, 0.91
, 1.944, -0.01, 0.52, 0.91
, 1.961, -0.03, 0.53, 0.92
, 1.980, -0.04, 0.51, 0.90
, 2.002, -0.06, 0.50, 0.88
, 2.020, -0.07, 0.54, 0.82
, 2.050, -0.16, 0.49, 0.72
, 2.061, -0.36, 0.54, 1.01
, 2.081, -0.10, 0.53, 0.91
, 2.085, -0.09, 0.52, 0.89
, 2.102, -0.11, 0.46, 0.85
, 2.124, -0.22, 0.54, 0.99
, 2.199, -0.15, 0.48, 0.95
, 2.203, -0.11, 0.46, 1.03
, 2.204, -0.09, 0.46, 1.11
, 2.205, -0.08, 0.44, 1.07
, 2.222, -0.06, 0.37, 1.14
, 2.241, -0.12, 0.34, 1.08
, 2.261, 0.06, 0.11, 1.13
, 2.282, 0.19, 0.32, 1.17
, 2.283, -0.07, 0.40, 1.05
, 2.303, 0.08, 0.32, 1.22
, 2.323, -0.31, 0.94, 1.24
, 2.361, -0.32, 0.97, 0.92
, 2.365, -0.33, 0.58, 0.53
, 2.417, -0.67, 0.22, 0.54
, 2.418, -1.01, 0.09, 1.17
, 2.422, -0.15, 0.39, 0.97
, 2.442, 0.51, 0.87, 0.41
, 2.463, 1.31, 1.25, -1.77
, 2.483, 0.62, 0.82, 0.24
, 2.484, -0.03, 0.64, 0.55
, 2.503, 0.43, 0.33, 0.36
, 2.525, -0.09, 0.44, 0.55
, 2.543, 0.38, 0.53, 0.79
, 2.564, 0.51, 0.22, 0.73
, 2.584, 0.59, -0.11, 0.45
, 2.605, 0.56, -0.30, 0.35
, 2.624, 0.74, -0.46, -0.26
, 2.644, 1.10, 0.20, -0.44
, 2.664, 1.45, 0.60, -0.77
, 2.686, 1.62, 0.40, -0.59
, 2.687, 0.73, 0.18, 0.12
, 2.705, 1.77, 0.34, -0.32
, 2.725, 0.49, -0.05, 1.35
, 2.745, 1.13, 0.16, -0.55
, 2.765, 1.74, 0.02, -0.19
, 2.785, 1.52, -0.28, -0.64
, 2.805, 0.25, -0.35, 0.22
, 2.826, 0.89, -0.22, -0.07
, 2.846, 0.92, 0.01, 0.28
, 2.866, 0.55, 0.50, 0.09
, 2.886, 0.78, 0.39, -0.07
, 2.888, 1.00, 0.05, 0.01
, 2.906, 1.15, 0.26, -0.16
, 2.926, 1.18, 0.07, -0.13
, 2.947, 1.10, 0.04, -0.03
, 2.967, 1.19, 0.13, 0.03
, 2.987, 1.36, 0.04, -0.28
, 3.007, 1.39, -0.14, -0.50
, 3.027, 1.51, 0.01, -0.12
, 3.048, 1.30, -0.14, -0.11
, 3.069, 1.14, -0.12, -0.28
, 3.090, 1.14, -0.03, -0.37
, 3.094, 1.25, 0.01, -0.19
, 3.109, 1.21, 0.17, -0.29
, 3.130, 1.17, 0.16, -0.38
, 3.152, 1.06, 0.05, -0.43
, 3.170, 1.01, 0.09, -0.43
, 3.190, 0.83, 0.02, -0.45
, 3.208, 0.77, 0.11, -0.46
, 3.229, 0.91, 0.16, -0.39
, 3.248, 0.79, 0.03, -0.34
, 3.268, 0.53, -0.11, -0.77
, 3.289, 0.64, -0.12, -0.81
, 3.292, 0.89, 0.06, -0.48
, 3.309, 0.54, -0.19, -0.63
, 3.329, 0.69, -0.14, -0.64
, 3.349, 0.72, -0.12, -0.67
, 3.369, 0.77, -0.05, -0.68
, 3.389, 0.87, -0.14, -0.60
, 3.409, 0.79, -0.17, -0.55
, 3.430, 0.89, -0.15, -0.61
, 3.450, 0.86, -0.18, -0.64
, 3.470, 0.83, -0.16, -0.66
, 3.490, 0.82, -0.14, -0.70
, 3.491, 0.78, -0.14, -0.64
, 3.510, 0.80, -0.20, -0.58
, 3.530, 0.62, -0.32, -0.49
, 3.551, 0.47, -0.13, -0.33
, 3.570, 0.41, -0.46, -0.80
, 3.591, 0.51, -0.31, -0.67
, 3.611, 0.64, -0.19, -0.76
, 3.631, 1.12, -0.13, -0.75
, 3.651, 1.04, -0.22, -0.42
, 3.671, 0.89, -0.38, -0.48
, 3.692, 0.76, -0.05, -0.70
, 3.694, 0.73, -0.24, -0.60
, 3.712, 0.53, 0.03, -0.56
, 3.732, 0.42, -0.15, -0.81
, 3.753, 0.39, -0.04, -0.84
, 3.772, 0.69, -0.11, -0.81
, 3.793, 0.84, -0.14, -0.69
, 3.813, 0.90, -0.23, -0.61
, 3.833, 0.67, -0.30, -0.61
, 3.854, 0.84, -0.64, -0.51
, 3.874, 0.81, 0.11, -0.54
, 3.894, 1.18, 0.08, -0.50
, 3.896, 0.73, -0.14, -0.65
, 3.915, 0.92, -0.22, -0.35
, 3.935, 1.00, -0.31, -0.46
, 3.955, 0.66, -0.20, -0.50
, 3.975, 0.64, -0.18, -0.23
, 3.996, 0.58, -0.06, -0.70
, 4.016, 0.69, 0.22, -0.77
, 4.036, 0.67, 0.35, -0.59
, 4.056, 0.76, 0.21, -0.55
, 4.076, 1.15, 0.15, -0.56
, 4.097, 0.68, 0.10, -0.38
, 4.105, 0.78, 0.01, -0.51
, 4.116, 0.84, 0.01, -0.53
, 4.137, 0.85, -0.04, -0.43
