
time,altitude,x,y,z
0,0,0.885826172,9.349577319,-7.470980127
0.05,0.272354736,1.037411621,9.349577319,-6.664395654
0.1,0,0.734240723,9.349577319,-6.261103418
0.15,0.272354736,0.810033447,9.500987231,-6.745054102
0.2,0,1.264789795,8.971052539,-6.341761865
0.25,0.272354736,1.037411621,9.046757495,-6.50307876
0.3,0,0.810033447,9.879512012,-7.067687891
0.35,0.272354736,1.18899707,8.819642627,-6.583737207
0.4,0,0.961618896,9.500987231,-6.664395654
0.45,0,1.795338867,9.046757495,-8.116247705
0.5,0,1.18899707,9.576692188,-6.987029443
0.55,-0.272354736,0.961618896,9.198167407,-7.067687891
0.6,0,1.113204346,9.500987231,-7.148346338
0.65,0.272354736,0.885826172,9.273872363,-6.906370996
0.7,0.272354736,1.113204346,9.349577319,-6.987029443
0.75,0,0.810033447,9.500987231,-6.906370996
0.8,0,0.885826172,9.425282275,-6.906370996
0.85,-0.272354736,1.113204346,9.425282275,-7.229004785
0.9,-0.272354736,1.037411621,9.349577319,-6.583737207
0.95,-0.272354736,1.113204346,9.198167407,-6.987029443
1,-0.272354736,0.885826172,9.273872363,-6.745054102
1.05,-0.272354736,1.037411621,9.349577319,-7.148346338
1.1,-0.272354736,0.961618896,9.349577319,-6.825712549
1.15,-0.272354736,1.113204346,9.349577319,-6.825712549
1.2,0,0.734240723,9.955216968,-7.067687891
1.25,-0.272354736,1.264789795,9.273872363,-6.906370996
1.3,0,0.506862549,13.13482512,-7.148346338
1.35,-0.272354736,2.856437012,6.321379077,-7.793613916
1.4,-0.272354736,0.658447998,11.54502104,-7.39032168
1.45,0,1.795338867,6.699903857,-5.857811182
1.5,-0.272354736,0.961618896,8.668232715,-6.341761865
1.55,0,1.643753418,7.078428638,-5.61583584
1.6,0,1.719546143,7.60836333,-6.906370996
1.65,0,1.719546143,8.743937671,-5.131885156
1.7,-0.544709473,0.658447998,8.895347583,-7.309663232
1.75,0,1.34058252,9.349577319,-5.857811182
1.8,-0.272354736,1.34058252,9.7281021,-6.583737207
1.85,-0.272354736,1.037411621,8.819642627,-6.583737207
1.9,0,0.279484375,9.7281021,-6.50307876
1.95,-0.272354736,1.113204346,8.819642627,-6.50307876
2,0,1.18899707,9.500987231,-6.422420313
2.05,0,0.658447998,9.198167407,-6.664395654
2.1,-0.272354736,0.961618896,9.349577319,-6.50307876
2.15,-0.272354736,0.961618896,9.046757495,-6.906370996
2.2,0,0.734240723,10.18233184,-6.422420313
2.25,-0.272354736,-0.099479248,9.046757495,-6.745054102
2.3,0,-0.099479248,8.971052539,-6.664395654
2.35,-0.272354736,0.885826172,10.03092192,-6.583737207
2.4,-0.272354736,2.022717041,7.684068286,-6.180444971
2.45,0,-0.402650146,9.198167407,-6.583737207
2.5,0,0.810033447,8.516822803,-6.50307876
2.55,0.272354736,0.052106201,9.425282275,-6.019128076
2.6,0,0.052106201,9.198167407,-6.664395654
2.65,0,-0.402650146,9.349577319,-6.261103418
2.7,0,-0.099479248,9.046757495,-6.261103418
2.75,-0.272354736,-0.251064697,9.425282275,-6.341761865
2.8,0,-0.023686523,9.198167407,-6.341761865
2.85,0.272354736,-0.099479248,9.198167407,-6.422420313
2.9,-0.272354736,-0.099479248,9.273872363,-6.099786523
2.95,-0.272354736,-0.251064697,9.198167407,-6.50307876
3,0.272354736,-0.175271973,9.198167407,-6.261103418
3.05,0,-0.023686523,9.273872363,-6.341761865
3.1,0.272354736,-0.099479248,8.895347583,-6.422420313
3.15,0.272354736,-0.857406494,8.365412891,-5.373860498
3.2,0.544709473,-0.251064697,10.10662688,-6.341761865
3.25,0.817064209,1.113204346,9.576692188,-7.148346338
3.3,0.817064209,0.20369165,8.743937671,-6.099786523
3.35,0,0.810033447,8.819642627,-7.470980127
3.4,-0.272354736,-0.099479248,10.78797148,-5.857811182
3.45,-0.272354736,0.582655273,8.895347583,-6.180444971
3.5,0.272354736,0.658447998,9.273872363,-6.099786523
3.55,0.272354736,0.506862549,9.652397144,-5.857811182
3.6,0.272354736,0.506862549,8.365412891,-6.906370996
3.65,0,0.658447998,8.819642627,-6.261103418
3.7,-0.272354736,0.431069824,8.516822803,-5.212543604
3.75,0,0.734240723,8.971052539,-6.422420313
3.8,0,0.734240723,8.592527759,-5.857811182
3.85,0,1.113204346,7.98688811,-6.664395654
3.9,-0.272354736,0.885826172,8.062593066,-6.50307876
3.95,-0.272354736,0.885826172,5.261509692,-7.309663232
4,0.272354736,1.037411621,8.289707935,-6.664395654
4.05,0,-0.326857422,26.38319243,-6.019128076
4.1,0,-0.63002832,8.592527759,-6.664395654
4.15,0,-0.63002832,9.576692188,-6.583737207
4.2,-0.272354736,-0.326857422,9.500987231,-6.422420313
4.25,-0.272354736,-1.008991943,9.500987231,-6.664395654
4.3,0,-0.099479248,10.18233184,-6.825712549
4.35,0.272354736,-0.478442871,9.349577319,-6.180444971
4.4,0,-0.63002832,9.425282275,-7.632297021
4.45,-0.272354736,-0.63002832,9.425282275,-6.099786523
4.5,0.544709473,-0.326857422,9.425282275,-6.825712549
4.55,0.272354736,-0.705821045,9.425282275,-6.664395654
4.6,0,-1.008991943,9.349577319,-6.987029443
4.65,0.272354736,-0.478442871,9.349577319,-6.664395654
4.7,0.272354736,-0.402650146,9.425282275,-7.148346338
4.75,0.272354736,-0.63002832,9.273872363,-6.664395654
4.8,-0.544709473,-0.478442871,9.349577319,-6.745054102
4.85,0,-0.705821045,8.895347583,-6.261103418
4.9,-0.272354736,-1.236370117,8.819642627,-7.067687891
4.95,0,-1.008991943,9.349577319,-6.825712549
5,0,0.3552771,12.30207061,-8.2775646
5.05,0,-1.691126465,9.955216968,-7.229004785
5.1,0,-1.312162842,8.819642627,-7.470980127
5.15,0,-0.251064697,5.034394824,-6.180444971
5.2,0.272354736,0.582655273,4.958689868,-8.84217373
5.25,0,-1.312162842,12.8320053,-8.600198389
5.3,-0.544709473,-4.268079102,18.43417205,-7.793613916
5.35,-0.272354736,-1.842711914,8.289707935,-8.84217373
5.4,-0.272354736,-1.463748291,9.7281021,-8.438881494
5.45,0,-1.236370117,10.03092192,-8.519539941
5.5,-0.272354736,-1.312162842,9.122462451,-8.680856836
5.55,-0.272354736,-1.084784668,9.879512012,-8.358223047
5.6,-0.272354736,-1.312162842,9.803807056,-8.600198389
5.65,0,-1.539541016,9.500987231,-8.922832178
5.7,-0.272354736,-1.236370117,9.425282275,-8.358223047
5.75,0,-1.312162842,9.500987231,-8.519539941
5.8,0,-1.387955566,9.652397144,-8.84217373
5.85,0,-1.236370117,10.10662688,-7.632297021
5.9,-0.272354736,-1.160577393,9.349577319,-8.680856836
5.95,-0.272354736,-1.160577393,9.803807056,-8.680856836
6,-0.272354736,-1.312162842,9.652397144,-8.196906152
6.05,-0.272354736,-1.387955566,9.576692188,-8.680856836
6.1,-0.272354736,-1.084784668,9.803807056,-8.2775646
6.15,0,-1.160577393,9.576692188,-8.438881494
6.2,-0.272354736,-1.312162842,9.652397144,-8.438881494
6.25,-0.544709473,-1.387955566,9.576692188,-8.196906152
6.3,0,-1.312162842,9.576692188,-8.2775646
6.35,-0.272354736,-1.236370117,9.879512012,-7.954930811
6.4,-0.272354736,-1.312162842,9.425282275,-7.874272363
6.45,-0.272354736,-1.160577393,9.576692188,-7.954930811
6.5,-0.272354736,-1.084784668,9.349577319,-8.116247705
6.55,-0.544709473,-1.160577393,9.652397144,-7.632297021
6.6,-0.272354736,-1.084784668,9.576692188,-8.196906152
